scorer,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven,Steven
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1
bodyparts,point1,point1,point10,point10,point11,point11,point12,point12,point2,point2,point3,point3,point4,point4,point5,point5,point6,point6,point7,point7,point8,point8,point9,point9
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
44,2.486925120166738,1.0,0.8085384682216061,1.0,0.428637063987346,1.0,0.8415613041658548,1.0,1.4383843194926687,1.0,1.3321489801908017,1.0,1.8868485229156806,1.0,1.5660755974518428,1.0,1.3021245037764313,1.0,0.7118781092901745,1.0,0.7039731111292262,1.0,2.5905505042120756,1.0
45,1.9257044985335219,1.0,1.0860203965010775,1.0,1.1938027004652778,1.0,1.1958434361900667,1.0,1.332817312669564,1.0,1.3740164480541028,1.0,0.9888650490952319,1.0,1.8683275896881353,1.0,0.8445140048464036,1.0,1.3126076392005372,1.0,0.32513650610410305,1.0,2.2454813455916773,1.0
46,2.1909129554346105,1.0,1.8091834610837318,1.0,1.3394558100726675,1.0,1.5498390188459743,1.0,1.1282200593930756,1.0,1.0988273444167935,1.0,0.48689485728319487,1.0,1.9509753233294116,1.0,0.6777608834450659,1.0,1.3875909585435025,1.0,1.0882814876101286,1.0,2.021089217626529,1.0
47,2.1099392056513158,1.0,0.5699725604784293,1.0,0.547648482594621,1.0,1.1108247866382266,1.0,1.0945284877235746,1.0,0.9329676529307963,1.0,0.8988475539654601,1.0,1.8423853135357209,1.0,1.35062891691208,1.0,2.8020910336711653,1.0,1.2257506649151009,1.0,1.4000318272192973,1.0
48,1.198141145428926,1.0,0.8313248059434863,1.0,0.9503686708666382,1.0,1.9433889545601888,1.0,0.4820263931110871,1.0,1.0202209788437917,1.0,1.8348166798112615,1.0,0.5092482606651668,1.0,1.2032455798223862,1.0,1.8061647020568738,1.0,1.011393900346767,1.0,1.0292033813378658,1.0
49,1.794820436873437,1.0,1.0995396910709676,1.0,0.8642354319683802,1.0,1.6894734855880325,1.0,0.7838255702713055,1.0,1.14531753705964,1.0,0.44340394202609584,1.0,0.7988081848624362,1.0,0.853985288276709,1.0,1.8573693511176836,1.0,1.2090384444241287,1.0,1.4805655836784843,1.0
50,1.7838614407492297,1.0,1.5112145195326632,1.0,1.1276804502895121,1.0,1.3237194855483185,1.0,0.5242408025979899,1.0,0.4999403214386554,1.0,0.8020845737114892,1.0,0.5412738911545546,1.0,0.6766494629623079,1.0,1.4656673220772292,1.0,0.8472464589894781,1.0,1.8009599573864095,1.0
51,1.1456133432467726,1.0,2.826241184950342,1.0,1.0686767298600202,1.0,0.6460475392177486,1.0,0.6235141145717376,1.0,0.9548892594443565,1.0,1.0937859376811536,1.0,0.6731803601097706,1.0,0.3597954827962014,1.0,2.5186749090026197,1.0,2.6735948378992753,1.0,1.6621370657384913,1.0
52,1.6294803060293162,1.0,1.5340047301533322,1.0,1.2929774558421334,1.0,1.3072158853173297,1.0,0.15507596306959154,1.0,0.8717513382716331,1.0,1.0508244194843053,1.0,0.3757530169364092,1.0,0.7799089633315084,1.0,0.6810090117299474,1.0,1.0841668662423967,1.0,1.5729342880862986,1.0
53,1.6407299148683678,1.0,0.757707999675731,1.0,1.7405727801268271,1.0,0.6038610933615142,1.0,0.8535501900529026,1.0,1.7108914019700232,1.0,1.0864394281538396,1.0,0.774841555167149,1.0,1.3178584174730077,1.0,1.1869142768463454,1.0,2.499672276936785,1.0,1.040618936426892,1.0
54,1.6222592880751499,1.0,2.441409839559319,1.0,0.2445908816146044,1.0,0.4057304866375639,1.0,0.7321242206499697,1.0,0.9580058672789713,1.0,0.8689913470603347,1.0,0.6593760467091222,1.0,0.7589116368205638,1.0,0.7749962782027277,1.0,0.6702020132136594,1.0,1.5805324001041567,1.0
55,1.8598096090648681,1.0,0.3950607206319338,1.0,1.4341976050122545,1.0,0.3309007048212136,1.0,0.49154873258516996,1.0,0.42110921420273617,1.0,1.1886811036472795,1.0,0.35630537115906474,1.0,1.8898949138384589,1.0,1.7542677298537857,1.0,2.1608285071392865,1.0,1.0882326844954757,1.0
56,1.4058315232026157,1.0,1.6959601537391256,1.0,0.7216372207245837,1.0,0.8723864486525476,1.0,0.7014881705938305,1.0,1.3787713355766165,1.0,1.5709971358683297,1.0,0.7429499866348563,1.0,1.7146993274212394,1.0,2.0717402863401078,1.0,2.475852872182108,1.0,1.6692111492991493,1.0
57,1.4846363457515825,1.0,0.47894517496858674,1.0,0.6197215451405444,1.0,1.2518667051198105,1.0,0.9056418626326866,1.0,1.6510361031156051,1.0,1.2132013903996277,1.0,0.4752467335555667,1.0,1.6356551735993559,1.0,1.0010075882410912,1.0,2.5823508065520713,1.0,2.1576719268355564,1.0
58,2.02153087350601,1.0,2.039710830647951,1.0,1.8307737100513717,1.0,0.8147068868822742,1.0,0.7536683418074147,1.0,1.2180387190024524,1.0,0.6720290924162923,1.0,0.1512184344595716,1.0,2.143031645987434,1.0,2.2823212385853004,1.0,2.0649437177717322,1.0,1.084063370943865,1.0
59,1.580507326802347,1.0,2.299611879690396,1.0,0.501955487055581,1.0,0.5581341959468414,1.0,1.176549646754332,1.0,0.38477686773564185,1.0,0.46884374640209575,1.0,1.169434891314983,1.0,1.3550843661518586,1.0,2.462275996822413,1.0,2.129213665560683,1.0,2.5882704294839827,1.0
60,2.030244991154225,1.0,2.0433165821449917,1.0,1.5122037741635905,1.0,0.9991720018726039,1.0,1.4263325162126341,1.0,0.7528701588448841,1.0,0.89496477859059,1.0,1.2189732861658373,1.0,2.2009290041364196,1.0,1.335481099326721,1.0,2.450772724418529,1.0,0.5265397136286393,1.0
61,2.193928816018903,1.0,2.641911688474299,1.0,1.309850437662477,1.0,1.2079951679569836,1.0,1.719516915605305,1.0,0.4675221641796262,1.0,0.6892662769220121,1.0,0.4816064716166665,1.0,1.3918312168955267,1.0,2.068236625375683,1.0,0.2028400934992694,1.0,1.6667930313249546,1.0
62,1.593885110978393,1.0,1.7151739553709195,1.0,1.5398258169248222,1.0,1.8738286513921218,1.0,1.146520208693561,1.0,0.7838646794519486,1.0,1.1637568991016565,1.0,1.199972061895021,1.0,1.6170643029412906,1.0,1.930685488333545,1.0,1.7577443993702504,1.0,2.1773147228538052,1.0
63,1.6919760428238535,1.0,0.6064662453387871,1.0,0.9213174751658127,1.0,1.0719818241135135,1.0,2.040076743960742,1.0,1.0793720760937597,1.0,1.285602222868564,1.0,0.2814493238142865,1.0,1.511218375420388,1.0,2.2172750720372196,1.0,0.8345098943711304,1.0,3.1099702177268678,1.0
64,2.1524258496361344,1.0,0.6711103905504624,1.0,1.9510752026674323,1.0,0.9941762278962565,1.0,1.983903257798656,1.0,0.9533955013605201,1.0,2.364957623109464,1.0,0.7504965923396617,1.0,2.12675811196031,1.0,1.5932714170309819,1.0,1.8718383770345965,1.0,2.5060581635098593,1.0
65,1.9275939316774837,1.0,0.6543076368720279,1.0,0.7046563534266905,1.0,0.9004881148329855,1.0,0.6421157749855728,1.0,0.7837858733916631,1.0,0.47068182264733444,1.0,0.587048174583167,1.0,2.709753423300465,1.0,1.7108669699826662,1.0,2.0185982096724397,1.0,3.1113497500811147,1.0
66,1.9819852346511162,1.0,0.9699335954983422,1.0,0.07594112765139459,1.0,1.2763999783216375,1.0,0.8631140395159342,1.0,0.5754141715190307,1.0,1.7481999405558457,1.0,0.5183182446184363,1.0,1.5578860066423672,1.0,2.2223858307198956,1.0,1.0205883087616856,1.0,3.344324836155665,1.0
67,1.8210784385799932,1.0,0.27790784264925855,1.0,0.6182389876974429,1.0,1.0877307825506164,1.0,1.7420796124305356,1.0,1.084793709025564,1.0,3.324347851695534,1.0,1.3242634375743645,1.0,2.1670059055846607,1.0,1.9424598185149757,1.0,2.7212330145702857,1.0,2.7359797781863255,1.0
68,2.426623247722128,1.0,0.42169955583580854,1.0,1.0488440683844868,1.0,0.5841700546328809,1.0,1.1669883357928774,1.0,0.9840294648094116,1.0,1.85161299030675,1.0,0.6463563713316668,1.0,1.8432179559957618,1.0,1.6861497880670901,1.0,1.079665896443781,1.0,3.2665183499576385,1.0
69,1.9231723837049501,1.0,1.078378185371653,1.0,1.2833030815750217,1.0,0.2243420012542073,1.0,1.0407022065287146,1.0,0.911132390467029,1.0,1.0428644226465906,1.0,0.19543126102888403,1.0,0.26861143458346537,1.0,0.7453726039787862,1.0,1.3656187171156444,1.0,2.90370385675684,1.0
70,1.9990971645766236,1.0,0.5250048891262673,1.0,1.6207140938668516,1.0,1.8864612830086793,1.0,0.5857378635691504,1.0,1.0847155515273954,1.0,2.4879255869630796,1.0,0.3260395593724111,1.0,1.716367753070064,1.0,1.3818384805808914,1.0,3.512299006514563,1.0,2.9956955118189432,1.0
71,2.1945736038459986,1.0,0.36702578201882696,1.0,0.2697210959819014,1.0,1.0126942124832954,1.0,1.7373018938307963,1.0,1.2885871222070795,1.0,1.3130312647718898,1.0,0.8937198891051003,1.0,0.993621203695387,1.0,2.0475359477799646,1.0,1.777047660476189,1.0,2.438606633436887,1.0
72,2.2515057509794256,1.0,1.5311523504342817,1.0,1.8257085239140474,1.0,0.6925658111831223,1.0,1.0588194971182627,1.0,0.8170746988874225,1.0,1.052655558462435,1.0,0.5098986866439361,1.0,0.9968168806012346,1.0,1.943613803681396,1.0,1.5373323315384693,1.0,3.4274601299039253,1.0
73,2.004334659433206,1.0,1.6610900083256404,1.0,2.0295780863525597,1.0,1.4298666281675543,1.0,0.6889710002469971,1.0,1.1960493684729923,1.0,1.8276950192332793,1.0,0.7328460014641217,1.0,1.5404716766444142,1.0,1.744262051851026,1.0,1.6569857716042018,1.0,3.1032055708744424,1.0
74,1.91398318941378,1.0,1.3738716053428524,1.0,1.226108582059533,1.0,2.692334418012217,1.0,0.8661567630723075,1.0,0.7149697486623348,1.0,1.1802829220862332,1.0,0.4642921663334408,1.0,2.4186132155357387,1.0,1.8761276779981217,1.0,1.977828573682546,1.0,2.7374717042588204,1.0
